,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamSize
0,0,3,male,22.0,1,0,7.25,S,1
1,1,1,female,38.0,1,0,71.2833,C,1
2,1,3,female,26.0,0,0,7.925,S,0
3,1,1,female,35.0,1,0,53.1,S,1
4,0,3,male,35.0,0,0,8.05,S,0
6,0,1,male,54.0,0,0,51.8625,S,0
7,0,3,male,2.0,3,1,21.075,S,4
8,1,3,female,27.0,0,2,11.1333,S,2
9,1,2,female,14.0,1,0,30.0708,C,1
10,1,3,female,4.0,1,1,16.7,S,2
11,1,1,female,58.0,0,0,26.55,S,0
12,0,3,male,20.0,0,0,8.05,S,0
13,0,3,male,39.0,1,5,31.275,S,6
14,0,3,female,14.0,0,0,7.8542,S,0
15,1,2,female,55.0,0,0,16.0,S,0
16,0,3,male,2.0,4,1,29.125,Q,5
18,0,3,female,31.0,1,0,18.0,S,1
20,0,2,male,35.0,0,0,26.0,S,0
21,1,2,male,34.0,0,0,13.0,S,0
22,1,3,female,15.0,0,0,8.0292,Q,0
23,1,1,male,28.0,0,0,35.5,S,0
24,0,3,female,8.0,3,1,21.075,S,4
25,1,3,female,38.0,1,5,31.3875,S,6
27,0,1,male,19.0,3,2,263.0,S,5
30,0,1,male,40.0,0,0,27.7208,C,0
33,0,2,male,66.0,0,0,10.5,S,0
34,0,1,male,28.0,1,0,82.1708,C,1
35,0,1,male,42.0,1,0,52.0,S,1
37,0,3,male,21.0,0,0,8.05,S,0
38,0,3,female,18.0,2,0,18.0,S,2
39,1,3,female,14.0,1,0,11.2417,C,1
40,0,3,female,40.0,1,0,9.475,S,1
41,0,2,female,27.0,1,0,21.0,S,1
43,1,2,female,3.0,1,2,41.5792,C,3
44,1,3,female,19.0,0,0,7.8792,Q,0
49,0,3,female,18.0,1,0,17.8,S,1
50,0,3,male,7.0,4,1,39.6875,S,5
51,0,3,male,21.0,0,0,7.8,S,0
52,1,1,female,49.0,1,0,76.7292,C,1
53,1,2,female,29.0,1,0,26.0,S,1
54,0,1,male,65.0,0,1,61.9792,C,1
56,1,2,female,21.0,0,0,10.5,S,0
57,0,3,male,28.5,0,0,7.2292,C,0
58,1,2,female,5.0,1,2,27.75,S,3
59,0,3,male,11.0,5,2,46.9,S,7
60,0,3,male,22.0,0,0,7.2292,C,0
62,0,1,male,45.0,1,0,83.475,S,1
63,0,3,male,4.0,3,2,27.9,S,5
66,1,2,female,29.0,0,0,10.5,S,0
67,0,3,male,19.0,0,0,8.1583,S,0
68,1,3,female,17.0,4,2,7.925,S,6
69,0,3,male,26.0,2,0,8.6625,S,2
70,0,2,male,32.0,0,0,10.5,S,0
71,0,3,female,16.0,5,2,46.9,S,7
72,0,2,male,21.0,0,0,73.5,S,0
73,0,3,male,26.0,1,0,14.4542,C,1
74,1,3,male,32.0,0,0,56.4958,S,0
75,0,3,male,25.0,0,0,7.65,S,0
78,1,2,male,0.83,0,2,29.0,S,2
79,1,3,female,30.0,0,0,12.475,S,0
80,0,3,male,22.0,0,0,9.0,S,0
81,1,3,male,29.0,0,0,9.5,S,0
83,0,1,male,28.0,0,0,47.1,S,0
84,1,2,female,17.0,0,0,10.5,S,0
85,1,3,female,33.0,3,0,15.85,S,3
86,0,3,male,16.0,1,3,34.375,S,4
88,1,1,female,23.0,3,2,263.0,S,5
89,0,3,male,24.0,0,0,8.05,S,0
90,0,3,male,29.0,0,0,8.05,S,0
91,0,3,male,20.0,0,0,7.8542,S,0
92,0,1,male,46.0,1,0,61.175,S,1
93,0,3,male,26.0,1,2,20.575,S,3
94,0,3,male,59.0,0,0,7.25,S,0
96,0,1,male,71.0,0,0,34.6542,C,0
97,1,1,male,23.0,0,1,63.3583,C,1
98,1,2,female,34.0,0,1,23.0,S,1
99,0,2,male,34.0,1,0,26.0,S,1
100,0,3,female,28.0,0,0,7.8958,S,0
102,0,1,male,21.0,0,1,77.2875,S,1
103,0,3,male,33.0,0,0,8.6542,S,0
104,0,3,male,37.0,2,0,7.925,S,2
105,0,3,male,28.0,0,0,7.8958,S,0
106,1,3,female,21.0,0,0,7.65,S,0
108,0,3,male,38.0,0,0,7.8958,S,0
110,0,1,male,47.0,0,0,52.0,S,0
